display_name,membership_id,class,score,kills,deaths,assists,avg_score_per_life,opponents_defeated,efficiency,kdr,kda,standing,team_score,weapon_name,weapon_type,weapon_kills
PureChilly,4611686018435058509,Hunter,4.0,13.0,10.0,2.0,0.36363636363636365,15.0,1.5,1.3,1.4,0.0,4.0,Dust Rock Blues,Shotgun,4.0
PureChilly,4611686018435058509,Hunter,21.0,16.0,25.0,5.0,0.8076923076923077,21.0,0.84,0.64,0.74,1.0,54.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Hunter,2.0,9.0,13.0,3.0,0.14285714285714285,12.0,0.9230769230769231,0.6923076923076923,0.8076923076923077,1.0,2.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,30.0,21.0,15.0,9.0,1.875,30.0,2.0,1.4,1.7,1.0,66.0,The Wardcliff Coil,Rocket Launcher,2.0
PureChilly,4611686018435058509,Hunter,6.0,14.0,7.0,2.0,0.75,16.0,2.2857142857142856,2.0,2.142857142857143,0.0,6.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Hunter,25.0,19.0,15.0,6.0,1.5625,25.0,1.6666666666666667,1.2666666666666666,1.4666666666666666,0.0,75.0,The Wardcliff Coil,Rocket Launcher,3.0
PureChilly,4611686018435058509,Hunter,6.0,13.0,6.0,3.0,0.8571428571428571,16.0,2.6666666666666665,2.1666666666666665,2.4166666666666665,0.0,6.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Hunter,5.0,4.0,18.0,1.0,0.2631578947368421,5.0,0.2777777777777778,0.2222222222222222,0.25,1.0,32.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Hunter,0.0,1.0,7.0,1.0,0.0,2.0,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.0,0.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Hunter,0.0,3.0,6.0,0.0,0.0,3.0,0.5,0.5,0.5,1.0,0.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Hunter,6.0,7.0,8.0,1.0,0.6666666666666666,8.0,1.0,0.875,0.9375,0.0,6.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Hunter,4.0,13.0,9.0,2.0,0.4,15.0,1.6666666666666667,1.4444444444444444,1.5555555555555556,0.0,4.0,The Wardcliff Coil,Rocket Launcher,2.0
PureChilly,4611686018435058509,Hunter,4.0,11.0,10.0,2.0,0.36363636363636365,13.0,1.3,1.1,1.2,0.0,4.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Hunter,6.0,7.0,2.0,2.0,2.0,9.0,4.5,3.5,4.0,0.0,6.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Hunter,28.0,9.0,9.0,4.0,2.8,13.0,1.4444444444444444,1.0,1.2222222222222223,0.0,101.0,The Wardcliff Coil,Rocket Launcher,1.0
PureChilly,4611686018435058509,Hunter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
PureChilly,4611686018435058509,Hunter,4.0,5.0,5.0,1.0,0.6666666666666666,6.0,1.2,1.0,1.1,0.0,4.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Hunter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
PureChilly,4611686018435058509,Hunter,20.0,8.0,16.0,5.0,1.1764705882352942,13.0,0.8125,0.5,0.65625,1.0,66.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Hunter,0.0,4.0,11.0,2.0,0.0,6.0,0.5454545454545454,0.36363636363636365,0.45454545454545453,1.0,0.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,4.0,10.0,2.0,1.0,1.3333333333333333,11.0,5.5,5.0,5.25,0.0,4.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Hunter,33.0,12.0,9.0,4.0,3.3,16.0,1.7777777777777777,1.3333333333333333,1.5555555555555556,0.0,100.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Hunter,5.0,9.0,11.0,2.0,0.4166666666666667,11.0,1.0,0.8181818181818182,0.9090909090909091,1.0,5.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Hunter,26.0,11.0,11.0,1.0,2.1666666666666665,12.0,1.0909090909090908,1.0,1.0454545454545454,0.0,101.0,Dust Rock Blues,Shotgun,7.0
PureChilly,4611686018435058509,Hunter,25.0,8.0,15.0,8.0,1.5625,16.0,1.0666666666666667,0.5333333333333333,0.8,1.0,61.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,4.0,6.0,9.0,4.0,0.4,10.0,1.1111111111111112,0.6666666666666666,0.8888888888888888,1.0,4.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Hunter,8.0,3.0,11.0,2.0,0.6666666666666666,5.0,0.45454545454545453,0.2727272727272727,0.36363636363636365,1.0,27.0,Not Forgotten,Hand Cannon,1.0
PureChilly,4611686018435058509,Hunter,26.0,15.0,20.0,11.0,1.2380952380952381,26.0,1.3,0.75,1.025,1.0,57.0,Dust Rock Blues,Shotgun,4.0
PureChilly,4611686018435058509,Hunter,0.0,7.0,12.0,1.0,0.0,8.0,0.6666666666666666,0.5833333333333334,0.625,1.0,0.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Hunter,2.0,2.0,5.0,0.0,0.3333333333333333,2.0,0.4,0.4,0.4,1.0,18.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Hunter,4.0,15.0,14.0,5.0,0.26666666666666666,20.0,1.4285714285714286,1.0714285714285714,1.25,0.0,4.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,4.0,12.0,10.0,6.0,0.36363636363636365,18.0,1.8,1.2,1.5,0.0,4.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Hunter,3.0,7.0,8.0,1.0,0.3333333333333333,8.0,1.0,0.875,0.9375,1.0,3.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Hunter,3.0,12.0,19.0,6.0,0.15,18.0,0.9473684210526315,0.631578947368421,0.7894736842105263,1.0,3.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Hunter,4.0,10.0,11.0,3.0,0.3333333333333333,13.0,1.1818181818181819,0.9090909090909091,1.0454545454545454,0.0,4.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,26.0,9.0,11.0,2.0,2.1666666666666665,11.0,1.0,0.8181818181818182,0.9090909090909091,0.0,102.0,Dust Rock Blues,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,4.0,8.0,7.0,5.0,0.5,13.0,1.8571428571428572,1.1428571428571428,1.5,0.0,4.0,Botheration Mk.28,Shotgun,4.0
PureChilly,4611686018435058509,Hunter,27.0,17.0,16.0,10.0,1.588235294117647,27.0,1.6875,1.0625,1.375,0.0,75.0,Botheration Mk.28,Shotgun,4.0
PureChilly,4611686018435058509,Hunter,12.0,4.0,3.0,2.0,3.0,6.0,2.0,1.3333333333333333,1.6666666666666667,0.0,101.0,Botheration Mk.28,Shotgun,3.0
PureChilly,4611686018435058509,Hunter,4.0,12.0,6.0,4.0,0.5714285714285714,16.0,2.6666666666666665,2.0,2.3333333333333335,0.0,4.0,Not Forgotten,Hand Cannon,3.0
PureChilly,4611686018435058509,Hunter,4.0,11.0,14.0,4.0,0.26666666666666666,15.0,1.0714285714285714,0.7857142857142857,0.9285714285714286,0.0,4.0,MIDA Multi-Tool,Scout Rifle,1.0
PureChilly,4611686018435058509,Hunter,4.0,3.0,3.0,5.0,1.0,8.0,2.6666666666666665,1.0,1.8333333333333333,0.0,4.0,Legend of Acrius,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,
PureChilly,4611686018435058509,Warlock,6.0,7.0,8.0,1.0,0.6666666666666666,8.0,1.0,0.875,0.9375,0.0,6.0,Mindbender's Ambition,Shotgun,4.0
PureChilly,4611686018435058509,Warlock,6.0,5.0,3.0,2.0,1.5,7.0,2.3333333333333335,1.6666666666666667,2.0,0.0,6.0,Mindbender's Ambition,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,24.0,11.0,15.0,3.0,1.5,14.0,0.9333333333333333,0.7333333333333333,0.8333333333333334,0.0,100.0,The Wardcliff Coil,Rocket Launcher,1.0
PureChilly,4611686018435058509,Warlock,6.0,7.0,5.0,3.0,1.0,10.0,2.0,1.4,1.7,0.0,6.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Warlock,39.0,16.0,7.0,3.0,4.875,19.0,2.7142857142857144,2.2857142857142856,2.5,0.0,101.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Warlock,3.0,5.0,4.0,1.0,0.6,6.0,1.5,1.25,1.375,1.0,4.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Warlock,28.0,20.0,10.0,8.0,2.5454545454545454,28.0,2.8,2.0,2.4,0.0,75.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Warlock,0.0,1.0,2.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,25.0,20.0,16.0,5.0,1.4705882352941178,25.0,1.5625,1.25,1.40625,0.0,75.0,Not Forgotten,Hand Cannon,8.0
PureChilly,4611686018435058509,Warlock,30.0,11.0,10.0,5.0,2.727272727272727,16.0,1.6,1.1,1.35,0.0,101.0,Not Forgotten,Hand Cannon,1.0
PureChilly,4611686018435058509,Warlock,6.0,8.0,4.0,3.0,1.2,11.0,2.75,2.0,2.375,0.0,6.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,0.0,7.0,11.0,4.0,0.0,11.0,1.0,0.6363636363636364,0.8181818181818182,1.0,0.0,Not Forgotten,Hand Cannon,3.0
PureChilly,4611686018435058509,Warlock,4.0,16.0,13.0,3.0,0.2857142857142857,19.0,1.4615384615384615,1.2307692307692308,1.3461538461538463,0.0,4.0,Not Forgotten,Hand Cannon,4.0
PureChilly,4611686018435058509,Warlock,32.0,9.0,0.0,5.0,32.0,14.0,14.0,9.0,11.5,0.0,100.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,41.0,17.0,12.0,6.0,3.1538461538461537,23.0,1.9166666666666667,1.4166666666666667,1.6666666666666667,0.0,100.0,Dust Rock Blues,Shotgun,8.0
PureChilly,4611686018435058509,Warlock,5.0,9.0,7.0,4.0,0.625,13.0,1.8571428571428572,1.2857142857142858,1.5714285714285714,1.0,5.0,Not Forgotten,Hand Cannon,7.0
PureChilly,4611686018435058509,Warlock,2.0,13.0,10.0,1.0,0.18181818181818182,14.0,1.4,1.3,1.35,1.0,2.0,Graviton Lance,Pulse Rifle,1.0
PureChilly,4611686018435058509,Warlock,29.0,10.0,15.0,6.0,1.8125,16.0,1.0666666666666667,0.6666666666666666,0.8666666666666667,0.0,100.0,Dust Rock Blues,Shotgun,2.0
PureChilly,4611686018435058509,Warlock,26.0,6.0,13.0,6.0,1.8571428571428572,12.0,0.9230769230769231,0.46153846153846156,0.6923076923076923,0.0,100.0,Dust Rock Blues,Shotgun,1.0
PureChilly,4611686018435058509,Warlock,1.0,2.0,6.0,1.0,0.14285714285714285,3.0,0.5,0.3333333333333333,0.4166666666666667,1.0,1.0,The Wardcliff Coil,Rocket Launcher,1.0
PureChilly,4611686018435058509,Warlock,6.0,6.0,7.0,2.0,0.75,8.0,1.1428571428571428,0.8571428571428571,1.0,0.0,6.0,Not Forgotten,Hand Cannon,2.0
PureChilly,4611686018435058509,Warlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
PureChilly,4611686018435058509,Warlock,1.0,9.0,14.0,4.0,0.06666666666666667,13.0,0.9285714285714286,0.6428571428571429,0.7857142857142857,1.0,1.0,The Wardcliff Coil,Rocket Launcher,2.0
PureChilly,4611686018435058509,Warlock,30.0,17.0,15.0,3.0,1.875,20.0,1.3333333333333333,1.1333333333333333,1.2333333333333334,1.0,92.0,Not Forgotten,Hand Cannon,5.0
PureChilly,4611686018435058509,Warlock,20.0,14.0,14.0,6.0,1.3333333333333333,20.0,1.4285714285714286,1.0,1.2142857142857142,0.0,73.0,The Wardcliff Coil,Rocket Launcher,2.0
PureChilly,4611686018435058509,Warlock,28.0,19.0,5.0,9.0,4.666666666666667,28.0,5.6,3.8,4.7,0.0,75.0,Not Forgotten,Hand Cannon,8.0
